Response ID,group,level,aspect,set
0,Very good,4,Simplicity,1
1,Good,3,Simplicity,1
2,Very bad,1,Simplicity,1
3,Good,3,Simplicity,1
4,Bad,2,Simplicity,1
5,Very bad,1,Simplicity,1
6,Good,3,Simplicity,1
7,Very good,4,Simplicity,1
8,Good,3,Simplicity,1
9,Good,3,Simplicity,1
10,Bad,2,Simplicity,1
11,Bad,2,Simplicity,1
12,Very good,4,Simplicity,1
13,Very good,4,Simplicity,1
14,Good,3,Simplicity,1
15,Very good,4,Simplicity,1
16,Good,3,Simplicity,1
17,Good,3,Simplicity,1
18,Very bad,1,Simplicity,1
19,Good,3,Simplicity,1
20,Bad,2,Simplicity,1
21,Good,3,Simplicity,1
22,Very good,4,Simplicity,1
23,Very bad,1,Simplicity,1
24,Good,3,Simplicity,1
25,Bad,2,Simplicity,1
26,Bad,2,Simplicity,1
27,Good,3,Simplicity,1
28,Very good,4,Simplicity,1
29,Good,3,Simplicity,1
30,Very bad,1,Simplicity,1
31,Good,3,Simplicity,1
32,Good,3,Simplicity,1
33,Very bad,1,Simplicity,1
34,Good,3,Simplicity,1
35,Good,3,Simplicity,1
36,Very good,4,Fill style,1
37,Very good,4,Fill style,1
38,Bad,2,Fill style,1
39,Good,3,Fill style,1
40,Good,3,Fill style,1
41,Bad,2,Fill style,1
42,Bad,2,Fill style,1
43,Very good,4,Fill style,1
44,Bad,2,Fill style,1
45,Good,3,Fill style,1
46,Bad,2,Fill style,1
47,Bad,2,Fill style,1
48,Good,3,Fill style,1
49,Good,3,Fill style,1
50,Bad,2,Fill style,1
51,Good,3,Fill style,1
52,Very good,4,Fill style,1
53,Good,3,Fill style,1
54,Very good,4,Fill style,1
55,Good,3,Fill style,1
56,Good,3,Fill style,1
57,Good,3,Fill style,1
58,Very good,4,Fill style,1
59,Very bad,1,Fill style,1
60,Good,3,Fill style,1
61,Good,3,Fill style,1
62,Bad,2,Fill style,1
63,Bad,2,Fill style,1
64,Bad,2,Fill style,1
65,Bad,2,Fill style,1
66,Bad,2,Fill style,1
67,Bad,2,Fill style,1
68,Good,3,Fill style,1
69,Good,3,Fill style,1
70,Bad,2,Fill style,1
71,Good,3,Fill style,1
72,Good,3,Visual weight,1
73,Very good,4,Visual weight,1
74,Bad,2,Visual weight,1
75,Very good,4,Visual weight,1
76,Very bad,1,Visual weight,1
77,Bad,2,Visual weight,1
78,Good,3,Visual weight,1
79,Good,3,Visual weight,1
80,Bad,2,Visual weight,1
81,Good,3,Visual weight,1
82,Bad,2,Visual weight,1
83,Bad,2,Visual weight,1
