Response ID,group,level,aspect,set
0,Good,3,Simplicity,1
1,Good,3,Simplicity,1
2,Good,3,Simplicity,1
3,Good,3,Simplicity,1
4,Very good,4,Simplicity,1
5,Good,3,Simplicity,1
6,Good,3,Simplicity,1
7,Good,3,Simplicity,1
8,Good,3,Simplicity,1
9,Good,3,Simplicity,1
10,Good,3,Simplicity,1
11,Good,3,Simplicity,1
12,Good,3,Simplicity,1
13,Good,3,Simplicity,1
14,Very good,4,Simplicity,1
15,Bad,2,Simplicity,1
16,Good,3,Simplicity,1
17,Good,3,Simplicity,1
18,Good,3,Simplicity,1
19,Very good,4,Simplicity,1
20,Good,3,Simplicity,1
21,Very bad,1,Simplicity,1
22,Bad,2,Simplicity,1
23,Good,3,Simplicity,1
24,Good,3,Simplicity,1
25,Very good,4,Simplicity,1
26,Good,3,Simplicity,1
27,Very bad,1,Simplicity,1
28,Good,3,Simplicity,1
29,Good,3,Simplicity,1
30,Bad,2,Simplicity,1
31,Good,3,Simplicity,1
32,Bad,2,Simplicity,1
33,Good,3,Simplicity,1
34,Good,3,Simplicity,1
35,Good,3,Fill style,1
36,Good,3,Fill style,1
37,Good,3,Fill style,1
38,Very good,4,Fill style,1
39,Very good,4,Fill style,1
40,Bad,2,Fill style,1
41,Very good,4,Fill style,1
42,Very good,4,Fill style,1
43,Good,3,Fill style,1
44,Good,3,Fill style,1
45,Very good,4,Fill style,1
46,Very good,4,Fill style,1
47,Good,3,Fill style,1
48,Good,3,Fill style,1
49,Good,3,Fill style,1
50,Good,3,Fill style,1
51,Good,3,Fill style,1
52,Bad,2,Fill style,1
53,Good,3,Fill style,1
54,Good,3,Fill style,1
55,Good,3,Fill style,1
56,Very bad,1,Fill style,1
57,Good,3,Fill style,1
58,Good,3,Fill style,1
59,Bad,2,Fill style,1
60,Very good,4,Fill style,1
61,Good,3,Fill style,1
62,Bad,2,Fill style,1
63,Bad,2,Fill style,1
64,Bad,2,Fill style,1
65,Good,3,Fill style,1
66,Bad,2,Fill style,1
67,Good,3,Fill style,1
68,Bad,2,Fill style,1
69,Good,3,Fill style,1
70,Bad,2,Visual weight,1
71,Bad,2,Visual weight,1
72,Good,3,Visual weight,1
73,Very good,4,Visual weight,1
74,Good,3,Visual weight,1
75,Bad,2,Visual weight,1
76,Very good,4,Visual weight,1
77,Very good,4,Visual weight,1
78,Bad,2,Visual weight,1
79,Good,3,Visual weight,1
80,Good,3,Visual weight,1
81,Bad,2,Visual weight,1
82,Very good,4,Visual weight,1
83,Very good,4,Visual weight,1
84,Good,3,Visual weight,1
85,Good,3,Visual weight,1
86,Bad,2,Visual weight,1
87,Bad,2,Visual weight,1
88,Bad,2,Visual weight,1
89,Good,3,Visual weight,1
90,Bad,2,Visual weight,1
91,Very bad,1,Visual weight,1
92,Good,3,Visual weight,1
93,Good,3,Visual weight,1
94,Bad,2,Visual weight,1
95,Very good,4,Visual weight,1
